Dr. B R Ambedkar National Institute of Technology, Jalandhar!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2675!2875
National Institute of Technology Meghalaya!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2944!2952
National Institute of Technology Patna!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!167!167
National Institute of Technology Patna!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1766!2105
National Institute of Technology Patna!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!688!963
National Institute of Technology Patna!Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!1436!1436
National Institute of Technology Patna!Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!1461!1461
National Institute of Technology Patna!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1928!2117
National Institute of Technology Patna!Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2218!2218
National Institute of Technology Patna!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1431!1540
National Institute of Technology Patna!Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!1553!1553
National Institute of Technology Patna!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2296!2334
National Institute of Technology Patna!Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2620!2620
National Institute of Technology Puducherry!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2265!2265
National Institute of Technology Puducherry!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!788!792
National Institute of Technology Puducherry!Electrical and Electronics Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1858!1858
National Institute of Technology Puducherry!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1228!1296
National Institute of Technology Raipur!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!201!201
National Institute of Technology Raipur!Bio Medical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3330!3472
National Institute of Technology Raipur!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3210!3250
National Institute of Technology Raipur!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2404!2543
National Institute of Technology Raipur!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1926!2353
National Institute of Technology Raipur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!540!974
National Institute of Technology Raipur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1767!1937
National Institute of Technology Raipur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!762!1520
National Institute of Technology Raipur!Information Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1233!1357
National Institute of Technology Raipur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1999!2392
National Institute of Technology Raipur!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2848!3070
National Institute of Technology Raipur!Mining Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2428!3156
National Institute of Technology Sikkim!Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1424!1424
National Institute of Technology Sikkim!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1764!1764
National Institute of Technology Sikkim!Electrical and Electronics Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2325!2325
National Institute of Technology Sikkim!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2000!2000
National Institute of Technology Sikkim!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2798!2798
National Institute of Technology Arunachal Pradesh!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2694!2694
National Institute of Technology Arunachal Pradesh!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1794!1794
National Institute of Technology Arunachal Pradesh!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2588!2588
National Institute of Technology Arunachal Pradesh!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2196!2196
National Institute of Technology, Jamshedpur!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1479!2060
National Institute of Technology, Jamshedpur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!524!748
National Institute of Technology, Jamshedpur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1303!1763
National Institute of Technology, Jamshedpur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!677!970
National Institute of Technology, Jamshedpur!Engineering and Computational Mechanics (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2002!2173
National Institute of Technology, Jamshedpur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1961!2251
National Institute of Technology, Jamshedpur!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2984!3215
National Institute of Technology, Jamshedpur!Production and Industrial Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2871!3073
National Institute of Technology, Kurukshetra!Architecture and Planning (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!174!195
National Institute of Technology, Kurukshetra!Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)!OS!Gender-Neutral!543!588
National Institute of Technology, Kurukshetra!Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)!OS!Gender-Neutral!519!519
National Institute of Technology, Kurukshetra!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!966!1146
National Institute of Technology, Kurukshetra!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!212!515
National Institute of Technology, Kurukshetra!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1201!1282
National Institute of Technology, Kurukshetra!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!724!959
National Institute of Technology, Kurukshetra!Industrial Internet of Things (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1611!1611
National Institute of Technology, Kurukshetra!Information Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!636!786
National Institute of Technology, Kurukshetra!Mathematics and Computing (4 Years, Bachelor of Technology)!OS!Gender-Neutral!872!872
National Institute of Technology, Kurukshetra!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1735!2004
National Institute of Technology, Kurukshetra!Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1410!1410
National Institute of Technology, Kurukshetra!Production and Industrial Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2851!2885
National Institute of Technology, Kurukshetra!ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)!OS!Gender-Neutral!369!1468
National Institute of Technology, Kurukshetra!SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2764!3224
National Institute of Technology, Manipur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1864!1922
National Institute of Technology, Manipur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2546!2546
National Institute of Technology, Manipur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2521!2521
National Institute of Technology, Manipur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3076!3076
National Institute of Technology, Mizoram!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2710!2710
National Institute of Technology, Mizoram!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1943!1943
National Institute of Technology, Mizoram!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2726!2801
National Institute of Technology, Mizoram!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2166!2166
National Institute of Technology, Mizoram!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3078!3078
National Institute of Technology, Rourkela!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!56!56
National Institute of Technology, Rourkela!Artificial Intelligence (4 Years, Bachelor of Technology)!OS!Gender-Neutral!315!315
National Institute of Technology, Rourkela!Bio Medical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2534!2534
National Institute of Technology, Rourkela!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2276!2276
National Institute of Technology, Rourkela!Ceramic Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1860!1860
National Institute of Technology, Rourkela!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1126!1252
National Institute of Technology, Rourkela!Chemistry (5 Years, Integrated Master of Science)!OS!Gender-Neutral!2819!2819
